sample_id,image_relpath,mask_relpath,dataset,split,grade,source_partition
GlaS_official_train_train_36,datasets/01_GlaS_official_raw/train_36.bmp,datasets/01_GlaS_official_raw/train_36_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_37,datasets/01_GlaS_official_raw/train_37.bmp,datasets/01_GlaS_official_raw/train_37_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_38,datasets/01_GlaS_official_raw/train_38.bmp,datasets/01_GlaS_official_raw/train_38_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_39,datasets/01_GlaS_official_raw/train_39.bmp,datasets/01_GlaS_official_raw/train_39_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_40,datasets/01_GlaS_official_raw/train_40.bmp,datasets/01_GlaS_official_raw/train_40_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_41,datasets/01_GlaS_official_raw/train_41.bmp,datasets/01_GlaS_official_raw/train_41_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_42,datasets/01_GlaS_official_raw/train_42.bmp,datasets/01_GlaS_official_raw/train_42_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_43,datasets/01_GlaS_official_raw/train_43.bmp,datasets/01_GlaS_official_raw/train_43_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_44,datasets/01_GlaS_official_raw/train_44.bmp,datasets/01_GlaS_official_raw/train_44_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_45,datasets/01_GlaS_official_raw/train_45.bmp,datasets/01_GlaS_official_raw/train_45_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_46,datasets/01_GlaS_official_raw/train_46.bmp,datasets/01_GlaS_official_raw/train_46_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_47,datasets/01_GlaS_official_raw/train_47.bmp,datasets/01_GlaS_official_raw/train_47_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_48,datasets/01_GlaS_official_raw/train_48.bmp,datasets/01_GlaS_official_raw/train_48_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_49,datasets/01_GlaS_official_raw/train_49.bmp,datasets/01_GlaS_official_raw/train_49_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_50,datasets/01_GlaS_official_raw/train_50.bmp,datasets/01_GlaS_official_raw/train_50_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_51,datasets/01_GlaS_official_raw/train_51.bmp,datasets/01_GlaS_official_raw/train_51_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_53,datasets/01_GlaS_official_raw/train_53.bmp,datasets/01_GlaS_official_raw/train_53_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_54,datasets/01_GlaS_official_raw/train_54.bmp,datasets/01_GlaS_official_raw/train_54_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_56,datasets/01_GlaS_official_raw/train_56.bmp,datasets/01_GlaS_official_raw/train_56_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_57,datasets/01_GlaS_official_raw/train_57.bmp,datasets/01_GlaS_official_raw/train_57_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_58,datasets/01_GlaS_official_raw/train_58.bmp,datasets/01_GlaS_official_raw/train_58_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_59,datasets/01_GlaS_official_raw/train_59.bmp,datasets/01_GlaS_official_raw/train_59_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_6,datasets/01_GlaS_official_raw/train_6.bmp,datasets/01_GlaS_official_raw/train_6_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_60,datasets/01_GlaS_official_raw/train_60.bmp,datasets/01_GlaS_official_raw/train_60_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_61,datasets/01_GlaS_official_raw/train_61.bmp,datasets/01_GlaS_official_raw/train_61_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_62,datasets/01_GlaS_official_raw/train_62.bmp,datasets/01_GlaS_official_raw/train_62_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_63,datasets/01_GlaS_official_raw/train_63.bmp,datasets/01_GlaS_official_raw/train_63_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_64,datasets/01_GlaS_official_raw/train_64.bmp,datasets/01_GlaS_official_raw/train_64_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_65,datasets/01_GlaS_official_raw/train_65.bmp,datasets/01_GlaS_official_raw/train_65_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_68,datasets/01_GlaS_official_raw/train_68.bmp,datasets/01_GlaS_official_raw/train_68_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_69,datasets/01_GlaS_official_raw/train_69.bmp,datasets/01_GlaS_official_raw/train_69_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_70,datasets/01_GlaS_official_raw/train_70.bmp,datasets/01_GlaS_official_raw/train_70_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_72,datasets/01_GlaS_official_raw/train_72.bmp,datasets/01_GlaS_official_raw/train_72_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_73,datasets/01_GlaS_official_raw/train_73.bmp,datasets/01_GlaS_official_raw/train_73_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_74,datasets/01_GlaS_official_raw/train_74.bmp,datasets/01_GlaS_official_raw/train_74_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_76,datasets/01_GlaS_official_raw/train_76.bmp,datasets/01_GlaS_official_raw/train_76_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_79,datasets/01_GlaS_official_raw/train_79.bmp,datasets/01_GlaS_official_raw/train_79_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_8,datasets/01_GlaS_official_raw/train_8.bmp,datasets/01_GlaS_official_raw/train_8_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_80,datasets/01_GlaS_official_raw/train_80.bmp,datasets/01_GlaS_official_raw/train_80_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_81,datasets/01_GlaS_official_raw/train_81.bmp,datasets/01_GlaS_official_raw/train_81_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_82,datasets/01_GlaS_official_raw/train_82.bmp,datasets/01_GlaS_official_raw/train_82_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_83,datasets/01_GlaS_official_raw/train_83.bmp,datasets/01_GlaS_official_raw/train_83_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_84,datasets/01_GlaS_official_raw/train_84.bmp,datasets/01_GlaS_official_raw/train_84_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_85,datasets/01_GlaS_official_raw/train_85.bmp,datasets/01_GlaS_official_raw/train_85_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_9,datasets/01_GlaS_official_raw/train_9.bmp,datasets/01_GlaS_official_raw/train_9_anno.bmp,GlaS,train68,benign,official_train
